|business_address|business_name|city|geo_coordinates|id|license_expiration|license_num|license_type|state|zip_code
0|676 678 688 Bridgeport Ave|Napoli Nissan|Milford|[{'type': 'Point', 'coordinates': [-73.083765, 41.209302]}]|row-pik2.2a4u-b8xf|2022-05-31T00:00:00|N0834|New Dealer|Ct|06460
1|1043 Bridgeport Ave|Monro Muffler Brake Inc|Milford|[{'type': 'Point', 'coordinates': [-73.069975, 41.21633]}]|row-9dvn.xbgf~wrfv|2023-10-31T00:00:00|R5268|General Repairer|Ct|06460-3160
2|688 Bridgeport Ave|Napoli Motors Inc|Milford|[{'type': 'Point', 'coordinates': [-73.083506, 41.209466]}]|row-ayjz~yrwu.b9sn|2022-03-31T00:00:00|O1704|Leasing License|Ct|06460
3|675 Bridgeport Ave|Bruneaus Inc|Milford|[{'type': 'Point', 'coordinates': [-73.083765, 41.209302]}]|row-qpuy-c9k9-4bmc|2022-07-31T00:00:00|R7693|General Repairer|Ct|06460-4254
4|215 219 Naugatuck Ave|Adonai Auto Sales Llc|Milford|[{'type': 'Point', 'coordinates': [-73.090201, 41.196112]}]|row-htzj~y4p3-ntgn|2023-11-30T00:00:00|U8757|Used Dealer|Ct|06460
5|480 Boston Post Rd|Colonial Power & Sport Llc|Milford|[{'type': 'Point', 'coordinates': [-73.067843, 41.228730000000006]}]|row-3mpa.gfti-agxb|2023-11-30T00:00:00|N2776|New Dealer|Ct|06460-2529
6|909 915 Boston Post Rd|Newlonbro Llc|Milford|[{'type': 'Point', 'coordinates': [-73.050928, 41.231963]}]|row-4xyg-m9c9~dnk5|2023-02-28T00:00:00|N2218|New Dealer|Ct|06460
7|1503 Boston Post Rd|Acura Of Milford|Milford|[{'type': 'Point', 'coordinates': [-73.030143, 41.243464]}]|row-c8uz.seya-w6va|2022-03-31T00:00:00|O5948|Leasing License|Ct|06460
8|70 Bridgeport Ave|R And J Investments Milford Llc|Milford|[{'type': 'Point', 'coordinates': [-73.105975, 41.200551]}]|row-i6w8-iwzp-s7bq|2023-03-31T00:00:00|U8016|Used Dealer|Ct|06460
9|998 Bridgeport Ave|Maurati Auto Body Inc|Milford|[{'type': 'Point', 'coordinates': [-73.071766, 41.215672]}]|row-wgrr-adqx~67xp|2022-11-30T00:00:00|U4847|Used Dealer|Ct|06460-3143
10|177 Bridgeport Ave|M And R Management Llc|Milford|[{'type': 'Point', 'coordinates': [-73.102934, 41.201813]}]|row-tszk-95p9~yzb8|2022-08-31T00:00:00|U7431|Used Dealer|Ct|06460-3936
11|503 New Haven Ave|Connecticut Auto Center Llc|Milford|[{'type': 'Point', 'coordinates': [-73.032978, 41.225087]}]|row-ta34.ea88.gn26|2023-06-30T00:00:00|U6693|Used Dealer|Ct|06460-8613
12|306R Boston Post Rd|Dba Pruven Performance|Milford|[{'type': 'Point', 'coordinates': [-73.072042, 41.224039]}]|row-idyh-kjce-bbcr|2023-02-28T00:00:00|R7714|General Repairer|Ct|06460-2527
13|826 Bridgeport Ave|Valvoline Instant Oil Change|Milford|[{'type': 'Point', 'coordinates': [-73.078818, 41.212391]}]|row-fja9-77cb~m2wu|2022-05-31T00:00:00|R7768|General Repairer|Ct|06460-3109
14|100 Boston Post Rd|Chips Auto Sales Inc|Milford|[{'type': 'Point', 'coordinates': [-73.075914, 41.21702]}]|row-t7eu~w56z~cerp|2023-02-28T00:00:00|U4892|Used Dealer|Ct|06460
15|15 Research Dr|Kjr Enterprises Inc|Milford|[{'type': 'Point', 'coordinates': [-73.019333, 41.237277]}]|row-4nae~gvcf-fcv4|2022-04-30T00:00:00|R7002|General Repairer|Ct|06460-8525
16|59 Meadow St|Dealertown Auto Wholesalers|Milford|[{'type': 'Point', 'coordinates': [-73.064172, 41.230141]}]|row-mi5j.jyyj-pdyx|2022-01-31T00:00:00|U8135|Used Dealer|Ct|06460-3409
17|825 Bridgeport Ave|Dba Wiz Sports & Imports|Milford|[{'type': 'Point', 'coordinates': [-73.07902, 41.212272]}]|row-is8v.jbvt~ikj3|2023-05-31T00:00:00|U8885|Used Dealer|Ct|06460-3108
