,BYGNING_ID,FYLKES_NR,FYLKES_NAVN,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,NAERINGSGRUPPE_KODE,NAERINGSGRUPPE_NAVN,PAABYGG_TILBYGG_KODE,PAABYGG_TILBYGG_NAVN,VANNFORSYNING_NR,VANNFORSYNING_NAVN,BRUKSAREAL_TOTALT,BRUKSAREAL_BOLIG,BRUKSAREAL_ANNET_BOLIG,ANTALL_ETASJER,ANTALL_BOLIGER,LKOORDINATSYSTEM_NR,LKOORDINATSYSTEM_NAVN,LKOORDINAT_KVALITET_KODE,LKOORDINAT_KVALITET_NAVN,LX_KOORDINAT,LY_KOORDINAT,LZ_KOORDINAT,EIENDOM_ANTALL,HAR_HEIS,BEBYGD_AREAL
680000,44321445,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283589,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,157.0,157.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532632.0,6551444.0,0.0,1,False,91.0
680001,44323493,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287312,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,9.0,0.0,9.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,531202.0,6551453.0,0.0,1,False,11.0
680002,44321447,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283597,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,205.0,205.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532618.0,6551465.0,0.0,1,False,104.0
680003,44323495,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287320,0,249.0,Annen landbruksbygning,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,531125.0,6551387.0,0.0,1,False,0.0
680004,44321441,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283562,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,185.0,185.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532642.0,6551396.0,0.0,1,False,111.0
680005,44323489,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287290,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,217.0,217.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,--,UOppgitt,531593.0,6551561.0,0.0,1,False,128.0
680006,44321443,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283570,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,185.0,185.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532632.0,6551419.0,0.0,1,False,104.0
680007,44323491,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287304,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,10101,10101,10101,Y,Annet som ikke er næring,,,,,12.0,0.0,12.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,531085.0,6551294.0,0.0,1,False,14.0
680008,44321453,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283627,0,133.0,Kjede/atriumhus,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,701.0,701.0,0.0,2,5,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532567.0,6551424.0,0.0,1,False,565.0
680009,44323501,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287355,0,113.0,Våningshus,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,205.0,205.0,0.0,3,1,22.0,EUREF89 UTM Sone 32,--,UOppgitt,529200.0,6533839.0,0.0,1,False,0.0
680010,44321455,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283635,0,133.0,Kjede/atriumhus,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,240.0,240.0,0.0,1,4,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532542.0,6551461.0,0.0,1,False,264.0
680011,44323503,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287363,0,249.0,Annen landbruksbygning,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,528598.44,6533550.88,0.0,1,False,0.0
680012,44321449,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283600,0,133.0,Kjede/atriumhus,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,701.0,701.0,0.0,2,5,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532590.0,6551356.0,0.0,1,False,565.0
680013,44323497,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287339,0,999.0,,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,530459.0,6550947.0,0.0,1,False,0.0
680014,44321451,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283619,0,133.0,Kjede/atriumhus,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,701.0,701.0,0.0,2,5,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532578.0,6551392.0,0.0,1,False,565.0
680015,44323499,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287347,0,999.0,,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,530336.0,6550953.0,0.0,1,False,0.0
680016,44321461,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283686,0,219.0,Annen industribygning,TB,Tatt i bruk,10101,10101,10101,C,Industri,,,,,6109.0,0.0,6109.0,4,0,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532701.0,6551908.0,0.0,1,False,2925.0
680017,44323509,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287401,0,241.0,Hus for dyr/landbr.lager/silo,BR,Bygning revet/brent,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,530321.0,6535268.0,0.0,1,False,0.0
680018,44321463,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283694,0,219.0,Annen industribygning,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532801.0,6551859.0,0.0,1,False,0.0
680019,44323511,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287428,0,111.0,Enebolig,BR,Bygning revet/brent,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,529208.0,6536498.0,0.0,1,False,0.0
680020,44321457,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283643,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,125.0,125.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532148.0,6551873.0,0.0,1,False,66.0
680021,44323505,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287371,0,111.0,Enebolig,BR,Bygning revet/brent,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,531689.0,6532748.0,0.0,1,False,0.0
680022,44321459,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283678,0,822.0,Brannstasjon ambulansestasjon,TB,Tatt i bruk,10101,10101,10101,O,"Off. adm. og forsvar, og trygdeordninger underlagt off. forvaltning",,,,,136.0,0.0,136.0,1,0,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532521.0,6551540.0,0.0,1,False,136.0
680023,44323507,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287398,0,241.0,Hus for dyr/landbr.lager/silo,BR,Bygning revet/brent,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,530005.0,6534412.0,0.0,1,False,0.0
680024,44321469,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283724,0,111.0,Enebolig,TB,Tatt i bruk,19761116,10101,19780209,X,Bolig,,,,,199.0,199.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,--,UOppgitt,539959.0,6544312.0,0.0,1,False,0.0
680025,44323517,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287452,0,111.0,Enebolig,BR,Bygning revet/brent,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,531434.0,6538070.0,0.0,1,False,0.0
680026,44323519,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287460,0,111.0,Enebolig,BR,Bygning revet/brent,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,531462.0,6538091.0,0.0,1,False,0.0
680027,44321465,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283708,0,112.0,Enebolig m/hybel/sokkelleil.,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,219.0,219.0,0.0,2,2,22.0,EUREF89 UTM Sone 32,--,UOppgitt,539876.0,6544322.0,0.0,1,False,146.0
680028,44323513,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287436,0,241.0,Hus for dyr/landbr.lager/silo,BR,Bygning revet/brent,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,528748.0,6536499.0,0.0,1,False,0.0
680029,44321467,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283716,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,194.0,194.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,--,UOppgitt,539938.0,6544315.0,0.0,1,False,0.0
680030,44323515,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287444,0,241.0,Hus for dyr/landbr.lager/silo,BR,Bygning revet/brent,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,--,UOppgitt,530822.0,6537341.0,0.0,1,False,0.0
680031,44321412,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283422,0,111.0,Enebolig,TB,Tatt i bruk,10101,10101,10101,X,Bolig,,,,,187.0,187.0,0.0,2,1,22.0,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,532737.0,6551444.0,0.0,1,False,132.0
680032,44323461,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165287142,0,241.0,Hus for dyr/landbr.lager/silo,TB,Tatt i bruk,10101,10101,10101,,,,,,,0.0,0.0,0.0,1,0,22.0,EUREF89 UTM Sone 32,54,DigitFraStrekKart1_5000,534753.0,6537935.0,0.0,1,False,0.0
680033,44321414,38,VESTFOLD OG TELEMARK,3813,BAMBLE,165283422,1,,,TB,Tatt i bruk,20000912,10101,20020708,X,Bolig,T,Tilbygg,,,73.0,73.0,0.0,1,0,,,,,,,,1,False,0.0
