,KOMMUNE_NR,KOMMUNE_NAVN,BYGNINGS_NR,BYGNING_LNR,BYGNINGSTYPE_NR,BYGNINGSTYPE_NAVN,BYGNINGSSTATUS_NR,BYGNINGSSTATUS_NAVN,GODKJENT_DATO,IGANGSATT_DATO,TATT_I_BRUK_DATO,BRUKSAREAL_TOTALT,KOMMUNE_NR_ADR,KOMMUNE_NAVN_ADR,ADRESSE_ID,GATENAVN,GATENAVNKODE,HUSNUMMER,BOKSTAV,UNDERNUMMER,POST_NR,POSTSTED
2440000,3436,NORD-FRON,7562578,0,111.0,Enebolig,TB,Tatt i bruk,19900110,19900130,19900825,200.0,,,147922886.0,Steinråket,4954.0,6.0,,,2642.0,KVAM
2440001,3436,NORD-FRON,7562586,0,519.0,Annen hotellbygning,BA,Bygging avlyst,19891207,10101,10101,0.0,,,,,,,,,,
2440002,3436,NORD-FRON,7562470,0,241.0,Hus for dyr/landbr.lager/silo,TB,Tatt i bruk,10101,10101,10101,0.0,,,,,,,,,,
2440003,3436,NORD-FRON,7564473,0,111.0,Enebolig,BA,Bygging avlyst,19920210,10101,10101,117.0,,,,,,,,,,
2440004,3436,NORD-FRON,7562470,1,241.0,Hus for dyr/landbr.lager/silo,TB,Tatt i bruk,19891030,19891031,19900105,65.0,,,,,,,,,,
2440005,3436,NORD-FRON,7564481,0,181.0,Garasjeuthus anneks til bolig,BR,Bygning revet/brent,19920304,10101,19930304,32.0,,,,,,,,,,
2440006,3436,NORD-FRON,7562489,0,111.0,Enebolig,BA,Bygging avlyst,19891106,10101,10101,175.0,,,,,,,,,,
2440007,3436,NORD-FRON,7564503,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,19910304,10101,19920304,32.0,,,,,,,,,,
2440008,3436,NORD-FRON,7564511,0,111.0,Enebolig,TB,Tatt i bruk,19920304,19920810,19930202,191.0,,,147922917.0,Nigardsvegen,3400.0,3.0,,,2640.0,VINSTRA
2440009,3436,NORD-FRON,7562497,0,181.0,Garasjeuthus anneks til bolig,BA,Bygging avlyst,19891106,10101,10101,52.0,,,,,,,,,,
2440010,3436,NORD-FRON,7562500,0,181.0,Garasjeuthus anneks til bolig,TB,Tatt i bruk,19891106,19900210,19901020,37.0,,,,,,,,,,
2440011,3436,NORD-FRON,7564422,0,113.0,Våningshus,TB,Tatt i bruk,10101,10101,10101,197.0,,,413607234.0,Gardvegen,5035.0,497.0,,,2642.0,KVAM
2440012,3436,NORD-FRON,7562411,0,182.0,Garasjeuth.anneks til fritidb,TB,Tatt i bruk,19891027,19901002,19901125,38.0,,,,,,,,,,
2440013,3436,NORD-FRON,7564422,1,113.0,Våningshus,TB,Tatt i bruk,19920206,19920805,19931231,34.0,,,413607234.0,Gardvegen,5035.0,497.0,,,2642.0,KVAM
2440014,3436,NORD-FRON,7562438,0,111.0,Enebolig,TB,Tatt i bruk,19891016,19900105,19900825,137.0,,,147921002.0,Brendevegen,1450.0,22.0,,,2642.0,KVAM
2440015,3436,NORD-FRON,7564430,0,161.0,Fritidsbygg(hyttersommerh. ol,BU,Bygningsnummer utgått,19920207,10101,10101,113.0,,,,,,,,,,
2440016,3436,NORD-FRON,7564449,0,241.0,Hus for dyr/landbr.lager/silo,TB,Tatt i bruk,10101,10101,10101,0.0,,,,,,,,,,
