|address|assessed_value|date_recorded|geo_coordinates|id|list_year|non_use_code|opm_remarks|property_type|remarks|residential_type|sales_amount|sales_ratio|serial_number|town
320000|31 Old Trolley Way|415240.0|2006-09-25T00:00:00|[{'type': 'Point', 'coordinates': [-73.430149, 41.074324]}]|row-vf7c.b5de.n54f|2005|||R|||510000.0|0.814196|51953|Norwalk
320001|26 York St|0.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-73.032786, 41.569079]}]|row-sn47~ig5e.n9ab|2004|24||R|||179000.0|0.0|40025|Waterbury
320002|14 Southern Blvd|154900.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-73.446974, 41.380745]}]|row-gzyy-kp4k~frgy|2004|||R|||307500.0|0.50374|40032|Danbury
320003|283 Hard Hl Rd S|193650.0|2006-09-28T00:00:00||row-utf2~c296.xy84|2005|||R|||347500.0|0.557266|50061|Bethlehem
320004|1568 Meriden Rd B4 Ut F|21700.0|2006-09-28T00:00:00|[{'type': 'Point', 'coordinates': [-72.966808, 41.554084]}]|row-4uxq.2in6-kk8f|2005|||R|||72535.0|0.299166|52782|Waterbury
320005|42 Pierce Rd|2022200.0|2004-10-05T00:00:00||row-9n8k.5rp7-895t|2004|8||R|||54000.0|37.448148|40004|Preston
320006|4 Cherry Ln|116860.0|2004-10-05T00:00:00||row-rptr.f35p-nmif|2004|||R|||297000.0|0.393468|40011|Brookfield
320007|55 Crocus Ln|200930.0|2004-10-01T00:00:00||row-69tt.4t8a-avh2|2004|||R|||610000.0|0.329393|40007|Trumbull
320008|75 Hickory Ln|122130.0|2004-10-01T00:00:00||row-qi2g~zf8u~jy75|2004|||R|||235000.0|0.519702|40073|Naugatuck
320009|272 Highland Lk Rd|78900.0|2004-10-04T00:00:00||row-wez7~tn8x.nzew|2004|||R|||150000.0|0.526|40013|Torrington
320010|1060 Townsend Ave|100170.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.89332, 41.285596]}]|row-89g7~r4zv-ap4r|2004|||R|||325000.0|0.308215|40021|New Haven
320011|50 Eastway Rd|111370.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-73.202097, 41.224694]}]|row-jxsx.4y9y-9f6e|2004|||R|||209000.0|0.532871|40055|Bridgeport
320012|111 Montowese Trl|184100.0|2004-10-14T00:00:00|[{'type': 'Point', 'coordinates': [-72.850006, 41.461773]}]|row-n8uy-vx52-p445|2004|||R|||390000.0|0.472051|40044|Wallingford
320013|94 Beacon Hl Rd|86840.0|2004-10-14T00:00:00|[{'type': 'Point', 'coordinates': [-72.584024, 41.787916]}]|row-qp8c-rhm9-cz68|2004|||R|||185000.0|0.469405|40047|East Hartford
320014|66 Jackson Ave|90090.0|2004-10-14T00:00:00||row-9p5c-eyb9-t4nq|2004|25||R|||63000.0|1.43|40192|Bridgeport
320015|74 Montrose St|58240.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.7119, 41.729523]}]|row-phem-n379.we7v|2004|||R|||162000.0|0.359506|40023|Hartford
320016|1531 Glasgo Rd Lt 124|18900.0|2004-10-04T00:00:00||row-sshx-fke8-32kf|2004|||R|||20000.0|0.945|40004|Griswold
320017|111 Sparrowbush Rd|105110.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.612617, 41.792682]}]|row-rhyc-32gh-kcqa|2004|||R|||200000.0|0.52555|40015|East Hartford
320018|112 Willow St|86170.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.773455, 41.676911]}]|row-qaik-tthm~xhm5|2004|||A|||199000.0|0.433015|40013|New Britain
320019|87 Strong St Passway 2|105450.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.859411, 41.306618]}]|row-rhsq-qh97~kq4d|2004|||R|||200000.0|0.52725|40006|East Haven
320020|115 Sunny Reach Dr|138900.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-72.718982, 41.80409]}]|row-d3jt.rizb-whpf|2004|||R|||395000.0|0.351646|40021|West Hartford
320021|46 Farmstead Ln|74130.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.640279, 42.003872]}]|row-9ng8-zazz.8y45|2004|7||R|||448939.0|0.165123|40002|Suffield
320022|31 Wynwood Dr|114560.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.688888, 41.607245]}]|row-d98a-ajs9.fyva|2004|||R|||209500.0|0.546826|40004|Cromwell
320023|15 Salerno Dr|39900.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.519169, 41.969129]}]|row-icyj.gawg~hw23|2004|7||R|||309825.0|0.128782|40002|Enfield
320024|2 Possum Rdg Rd|242530.0|2004-10-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.329235, 41.402918]}]|row-sfmf-hpwg.4s6r|2004|25||R|||458500.0|0.528964|40012|Newtown
320025|3 Robins Ln|152720.0|2004-10-07T00:00:00|[{'type': 'Point', 'coordinates': [-73.406953, 41.498456]}]|row-97xu-nej3-yagp|2004|6||R|||10000.0|15.272|40013|Brookfield
320026|12 Maplewood Dr|122000.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.464786, 41.939314]}]|row-gvxb~f5rc-b3fj|2004|||R|||274900.0|0.443798|40006|Ellington
320027|1588 Ella T Grasso Blvd|123550.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.949147, 41.322373]}]|row-d3u3~vzcp-9j2y|2004|||R|||280000.0|0.44125|40008|New Haven
320028|32 Litchfield Dr|70630.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.578941, 41.956629]}]|row-2afv.jbmh-du5w|2004|||R|||173900.0|0.406153|40005|Enfield
320029|483 E Main St|77000.0|2004-10-06T00:00:00||row-seqx~62y3-567b|2004|||R|||185000.0|0.416216|40021|Norwich
320030|197 North Ave|426600.0|2004-10-06T00:00:00|[{'type': 'Point', 'coordinates': [-73.344828, 41.17205]}]|row-3tvg-dmav-tmps|2004|29||R|||0.0|0.0|40022|Westport
320031|Smith St|77400.0|2004-10-06T00:00:00||row-4ktu.puah-h58f|2004|25||C/I/U|||67000.0|1.155224|40013|Windsor Locks
320032|200 Butts Rd|148860.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-71.955227, 41.931993]}]|row-f6n7.qr2t~ismb|2004|1||R|||385000.0|0.386649|40007|Woodstock
320033|864 Campbell Ave|65660.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.956551, 41.282384]}]|row-he6a~52mb-d63q|2004|||R|||159000.0|0.412956|40003|West Haven
320034|135 Poplar St|49000.0|2004-10-01T00:00:00|[{'type': 'Point', 'coordinates': [-72.896526, 41.305489]}]|row-44dw-vsix.bxk5|2004|||R|||163000.0|0.300613|40009|New Haven
320035|360 New Britain Ave|69440.0|2004-10-06T00:00:00|[{'type': 'Point', 'coordinates': [-72.694332, 41.741133]}]|row-hfyp-e3fw.qyft|2004|||C/I/U|||175000.0|0.3968|40046|Hartford
320036|77 Manor Rd & Manor Rd|142120.0|2004-10-06T00:00:00||row-qbjx.26nd~4zbj|2004|7||R|||274900.0|0.516988|40005|Guilford
320037|336 Brookfield St|67970.0|2004-10-06T00:00:00|[{'type': 'Point', 'coordinates': [-72.7085, 41.745092]}]|row-7m5x-m9u6~czk6|2004|16||R|||115000.0|0.591043|40042|Hartford
320038|22 Linwood Ave|652750.0|2004-10-06T00:00:00||row-gdfj.7247-gcq2|2004|||R|||1738400.0|0.375489|40016|Greenwich
320039|189 England Rd|53700.0|2004-10-06T00:00:00|[{'type': 'Point', 'coordinates': [-72.113313, 41.785284]}]|row-di9f~24qs-3bz5|2004|||R|||75000.0|0.716|40002|Chaplin
320040|42 Pierce Rd|2022200.0|2004-10-06T00:00:00||row-5iyf-39i4.fsu7|2004|8||R|||67000.0|30.18209|40006|Preston
320041|19-23 Ash St|16806.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-73.217565, 41.168517]}]|row-964f~inkh.eaqw|2004|||V|||55000.0|0.305564|40107|Bridgeport
320042|13 Rockview Cir|184870.0|2004-10-04T00:00:00|[{'type': 'Point', 'coordinates': [-73.247666, 41.340395]}]|row-8993~x6wg-tahn|2004|||R|||322000.0|0.57413|40003|Monroe
320043|533 Courtland Ave|202441.0|2004-10-04T00:00:00||row-3cf4.mjym.2uxc|2004|||R|||370000.0|0.547138|40043|Bridgeport
320044|765 Birmingham St|121940.0|2004-10-12T00:00:00|[{'type': 'Point', 'coordinates': [-73.219506, 41.205368]}]|row-cgfu~wsvs-sdh9|2004|||R|||210000.0|0.580667|40121|Bridgeport
320045|20 Burlington Rd|128320.0|2004-10-12T00:00:00||row-34a4-wtk5-9sg2|2004|||R|||215000.0|0.596837|40016|Farmington
320046|20 Middle Rd|81600.0|2004-10-05T00:00:00|[{'type': 'Point', 'coordinates': [-72.045891, 41.490298]}]|row-7xjh-ekr2.c9ja|2004|||R|||165000.0|0.494545|40014|Preston
