|account_number|annual_report_due_date|began_transacting_in_ct|business_city|business_country|business_email_address|business_name_in_state_country|business_state|business_street|business_type|business_unit|business_zip_code|category_survey_email_address|citizenship|country_formation|created_on|date_of_organization_meeting|disable_person_owned_organization|dissolution_date|formation_place|id|mail_jurisdiction|mailing_address|mailing_international_address|mailing_jurisdiction_address|mailing_jurisdiction_business_city|mailing_jurisdiction_business_country|mailing_jurisdiction_business_state|mailing_jurisdiction_business_street|mailing_jurisdiction_business_unit|mailing_jurisdiction_business_zip_code|minority_owned_organization|naics_code|naics_sub_code|name|office_jurisdiction_address|office_jurisdiction_business_city|office_jurisdiction_business_state|office_jurisdiction_business_street|office_jurisdiction_business_unit|office_jurisdiction_business_zip_code|office_jurisdiction_country|reason_for_administrative_dissolution|record_address|records_address_city|records_address_country|records_address_state|records_address_street|records_address_unit|records_address_zip_code|registration_date|state_or_territory_formation|status|sub_status|total_authorized_shares|veteran_owned_organization|woman_owned_organization
840000|0510451|1996-01-18T00:00:00||Bridgeport||||CT|125 Alexander Avenue|Llc||06606||Domestic||2022-05-18T00:05:40.103333||False||Ct|row-2a4g~peps.wx2r|||||||||||False|||271-273 Dover Street Llc||||||||||||||||1995-01-18T00:00:00|Connecticut|Forfeited|||False|False
840001|0849382|2021-03-31T00:00:00||Salem|United States|papigray@gmail.com||CT|235 Buckley Road|Llc||06420||Domestic||2022-05-18T00:03:57.996666||False|2020-11-14T00:00:00|Ct|row-rskh~avbn-hwn2|||||||||||False|Lessors of Other Real Estate Property (531190)||Gray Brothers Properties, Llc||||||||||||||||2006-02-16T00:00:00|Connecticut|Dissolved|||False|False
840002|0510032|1996-01-10T00:00:00||Bridgeport||||CT|630 Fairview Av|Stock||06606||Domestic||2022-05-18T00:04:11.550000|1994-12-15T00:00:00|False|1996-02-27T00:00:00|Ct|row-zpkz-dd6s-jwiz|||||||||||False|||Air Rondao Inc.||||||||||||||||1995-01-10T00:00:00|Connecticut|Dissolved||100|False|False
840003|1301788|2020-03-31T00:00:00||Danbury|United States|NICOLEDODGEE@GMAIL.COM||CT|23 Padanaram Road Unit 5|Llc||06811||Domestic||2022-05-18T00:05:29.460000||False|2019-12-16T00:00:00|Ct|row-8a4t-r5hg.47xi|||||||||||False|||Taste Vapors Llc||||||||||||||||2019-03-07T00:00:00|Connecticut|Dissolved|||False|False
840004|0571994|2002-03-31T00:00:00||Wethersfield||||CT|1283 Silas Deane Highway|Llc||06109||Domestic||2022-05-18T00:05:51.783333||False|2002-07-30T00:00:00|Ct|row-arts-2ey7.dh6y|||||||||||False|||Starlight Gift And Candle Llc||||||||||||||||1997-09-19T00:00:00|Connecticut|Dissolved|||False|False
840005|0968119|2010-04-08T00:00:00||New Milford||||CT|49R Prospect Hill Road|Llc||06776-3711||Domestic||2022-05-18T00:03:55.900000||False|2011-06-14T00:00:00|Ct|row-5779-f5cp~r493|||||||||||False|||Post Construction Cleanup, Llc||||||||||||||||2009-04-08T00:00:00|Connecticut|Dissolved|||False|False
840006|0523437|1996-10-05T00:00:00||Pearl River||||NY|C/O Clifford Companies 1 Blue Hill Plaza|Llc||10965||Domestic||2022-05-18T00:03:47.040000||False||Ny|row-8f5j-hhcz.7ftr|||||||||||False|||Church & 85 Hebron Llc||||||||||||||||1995-10-06T00:00:00|Connecticut|Forfeited|||False|False
840007|1375020|2022-03-31T00:00:00||Hamden|United States|EFILE1234@INCFILE.COM||CT|39 High Top Circle 2Left|Llc||06514||Domestic||2022-05-18T00:04:16.833333||False||Ct|row-vdaq-3qxa~csfa|||||||||||False|||Rich Kid Rental Llc||||||||||||||||2021-01-23T00:00:00|Connecticut|Active|Annual report past due||False|False
840008|0649556|2004-04-18T00:00:00|2000-04-19T00:00:00||||TRADEOUT, INC.||None|Stock||||Foreign||2022-05-18T00:03:55.230000||False||De|row-rcgj-sp2r-t2uc|||||||||||False|||Tradeout, Inc.||||||||||||||||2000-04-19T00:00:00|DE|Withdrawn|||False|False
840009|0014356|2012-05-30T00:00:00||East Hartford||protekmail@aol.com||CT|124 Main Street|Stock||06118||Domestic||2022-05-18T00:04:11.486666|1975-05-02T00:00:00|False|2012-12-27T00:00:00|Ct|row-3dny-xrn5-w9ge|||||||||||False|||Sruper Systems, Inc.||||||||||||||||1975-05-05T00:00:00|Connecticut|Dissolved||0|False|False
